Index,Source,Entry,Syllabary,Part_of_Speech,PoS,PoS_Family,Definition,Cross_Reference,Entry_Tone,Other_Forms,Notes,Locked,Source_ID
632,ced,dekanogi’a,ᏕᎧᏃᎩᎠ,verb (v.t.),,,he/she is singing,,dekạ́nogí’a,1st person singular with animate/ inanimate object:dejinogi’a^ᏕᏥᏃᎩᎠ^dejînogí’a|3rd person singular non-progressive remote past tense:duhnogisv’i^ᏚᏃᎩᏒᎢ^dùhnogísv̌’i|3rd person singular present habitual:dekanogisgo’i^ᏕᎧᏃᎩᏍᎪᎢ^dekạ́nogísgó’i|imperative with animate/ inanimate direct objects:tihnogi^ᏘᏃᎩ^tịhnógi|3rd person singular infinitive:juhnogisdi^ᏧᏃᎩᏍᏗ^juhnogìsdi,,False,642.1
633,ced,dekanugosga,ᏕᎧᏄᎪᏍᎦ,verb (v.t.),,,he/she is clawing him/her,,dekạ́nugǒsga,1st person singular with animate/ inanimate object:dejinugosga^ᏕᏥᏄᎪᏍᎦ^dejînugǒsga|3rd person singular non-progressive remote past tense:duhnugosv’i^ᏚᏄᎪᏒᎢ^dùhnugǒsv́’i|3rd person singular present habitual:dekanugosgo’i^ᏕᎧᏄᎪᏍᎪᎢ^dekạ́nugǒsgó’i|imperative with animate/ inanimate direct objects:tinugola^ᏘᏄᎪᎳ^tînugǒla|3rd person singular infinitive:juhnugosdi^ᏧᏄᎪᏍᏗ^juhnugǒsdi,,False,643.1
634,ced,dekayvsgo’iha,ᏕᎧᏴᏍᏉᎢᎭ,verb (v.i.),,,to come out of the nose,,dekạ́yv̌sgọ́’ịha,,,False,644.1
635,ced,dekgilo’a,ᏕᎬᎩᎶᎠ,verb (v.t.),,,he/she is washing,,dékgiló’a,1st person singular with animate/ inanimate object:degvgilo’a^ᏕᎬᏱᎶᎠ^degv̂giló’a|3rd person singular non-progressive remote past tense:duhgilo’v’i^ᏚᎩᎶᎥᎢ^dùhgiló’v̌’i|3rd person singular present habitual:dekgilosgo’i^ᏚᎬᎩᎶᏍᎪᎢ^dékgilósgó’i|imperative with animate/ inanimate direct objects:tvhgiloja^ᏛᎩᎶᏣ^tṿhgíloja|3rd person singular infinitive:juhgilosdi^ᏧᎩᎶᏍᏗ^jụhgilòsdi,,False,645.1
636,ced,dichvsdi,ᏗᏨᏍᏗ,noun,,,marriage,,dichv́sdi,,,False,649.1
637,ced,didahihi,ᏗᏓᎯᎯ,noun,,,murderer,,didáhịhi,plural:dinadahihi^ᏗᎾᏓᎯᎯ^dinạdáhịhi,,False,650.1
638,ced,didahi’lidasdi’i,ᏗᏓᎯᎵᏓᏍᏗᎢ,noun,,,courthouse,,didahị’lǐdâsdi̋’i,plural:junadahi’lidasdi’i^ᏧᎾᏓᎯᎵᏓᏍᏗᎢ^junạdahị’lǐdâsdi̋’i,,False,651.1
639,ced,didahlilosdisgi,ᏗᏓᏟᎶᏍᏗᏍᎩ,noun,,,camera,,didahlilòsdi̋sgi,,,False,652.1
640,ced,didahlilostanv’i,ᏗᏓᏟᎶᏍᏔᏅᎢ,noun,,,picture,,didahlilòstạnv̋’i,,,False,653.1
641,ced,didahnawida,ᏗᏓᎿᏫᏓ,noun,,,cross,,didáhnàwịda,plural:judahnawida^ᏧᏓᎿᏫᏓ^judáhnàwịda,,False,654.1
642,ced,didahnesesgi,ᏗᏓᏁᏎᏍᎩ,noun,,,conjurer,,didahnese̋sgi,plural:dinadahnesesgi^ᏗᎾᏓᏁᏎᏍᎩ^dinạdahnese̋sgi,,False,655.1
